Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=MFG~String~MFG~100|Field=MFG_PN~String~MFG_PN~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Unit Price~String~Unit Price~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Softcore_SA_HW.PrjPcb|ReportField=ProjectFullPath~C:\IMR_Projects\IMR\Softcore_SA\Hardware\Softcore_SA_HW\Softcore_SA_HW.PrjPcb|ReportField=Title~BOM_PartType For Project [Softcore_SA_HW.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~192|ReportField=ReportTime~6:07:15 PM|ReportField=ReportDate~3/22/2026|ReportField=ReportDateTime~3/22/2026 6:07:15 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProjectTitle~SoftCore SA Adapter|ReportField=ProjectTime~08:00|ReportField=ProjectRevision~2|ReportField=ProjectDocumentNumber~IMR-006-SCH|ReportField=ProjectDate~02/26/26|ReportField=Address1~3621 Gin Way|ReportField=Address2~Snellville GA, 30039|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~02/26/26|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~IMR-006-SCH|ReportField=DrawnBy~|ReportField=Engineer~Hab S Collector|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~2|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~SoftCore SA Adapter|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Softcore_SA_HW.PrjPcb|ReportField=DataSourceFullPath~C:\IMR_Projects\IMR\Softcore_SA\Hardware\Softcore_SA_HW\Softcore_SA_HW.PrjPcb
GRM32ER60J476ME20L|CAP CER 47UF 50V X5R 1210|C1, C4, C15, C43, C46|CAP_SMD_47UF_16V_1210|5|Murata Electronics|GRM32ER60J476ME20L|DigiKey|490-1887-1-ND|.28
KGM21NR71H104KT|CAP CER 0.1UF 50V X7R 0805|C2, C3, C5, C6, C10, C11, C12, C13, C16, C17, C20, C22, C23, C26, C27, C32, C33, C35|CAP_SMD_0.1UF_50V_0805|18|KYOCERA AVX|KGM21NR71H104KT|DigiKey|478-KGM21NR71H104KTCT-ND|.1
CC0805JRNPO9BN471|CAP CER 470PF 50V COG/NP0 0805|C7|CAP_SMD_470PF_50V_0805|1|Yageo|CC0805JRNPO9BN471|DigiKey|311-1119-1-ND|.11
GRM21BR61H106KE43L|CAP CER 10UF 50V X5R 0805|C8, C30, C40, C41, C49|CAP_SMD_10UF_50V_0805|5|Murata Electronics|GRM21BR61H106KE43L|DigiKey|490-18663-1-ND|.28
CC0805JRNPO9BN221|CAP CER 220PF 50V COG/NP0 0805|C9, C14|CAP_SMD_220PF_50V_0805|2|Yageo|CC0805JRNPO9BN221|DigiKey|311-1115-1-ND|.11
GRM2165C1H332JA01D|CAP CER 3.3NF 50V COG/NP0 0805|C18, C19|CAP_SMD_3.3NF_50V_0805|2|Murata Electronics|GRM2165C1H332JA01D|DigiKey|490-1632-1-ND|.13
08055C105K4T2A|CAP CER 1UF 50V X7R 0805|C21, C31|CAP_SMD_1UF_50V_0805|2|KYOCERA AVX|08055C105K4T2A|DigiKey|478-KAM21KR71H105KUCT-ND|.27
C0805C472K5RACAUTO|CAP CER 4.7NF 50V X7R 0805|C28, C38|CAP_SMD_4.7NF_50V_0805|2|KEMET|C0805C472K5RACAUTO|DigiKey|399-6969-1-ND|.12
EMK325ABJ107MM-P|CAP CER 100UF 16V X7S SMD|C29, C36, C37|CAP_SMD_100UF_16V_SMD|3|Taiyo Yuden|EMK325ABJ107MM-P|DigiKey|587-5426-1-ND|1.92
GRM21BR61H475KE51L|CAP CER 4.7UF 50V X5R 0805|C34, C45, C47|CAP_SMD_4.7UF_50V_0805|3|Murata Electronics|GRM21BR61H475KE51L|DigiKey|490-10751-1-ND|.19
C0805C220K5RACAUTO|CAP CER 22PF 50V X7R 0805|C39|CAP_SMD_22PF_50V_0805|1|KEMET|C0805C220K5RACAUTO|DigiKey|399-17627-1-ND|.24
GRM155R60J474KE19D|CAP CER 0.47UF 6.3V X5R 0402|C42|CAP_SMD_470NF_50V_0805|1|Murata Electronics|GRM155R60J474KE19D|DigiKey|490-3266-1-ND|.10
C0805C270J5GACTU|CAP CER 27PF 50V C0G/NP0 0805|C44|CAP_SMD_27PF_50V_0805|1|KEMET|C0805C270J5GACTU|DigiKey|399-C0805C270J5GACTUCT-ND|.11
GRM219R61E225KA12J|CAP CER 2.2UF 50V X5R 0805|C48|CAP_SMD_2.2UF_50V_0805|1|Murata Electronics|GRM219R61E225KA12J|DigiKey|490-GRM219R61E225KA12JCT-ND|.38
