Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=MFG~String~MFG~100|Field=MFG_PN~String~MFG_PN~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Unit Price~String~Unit Price~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Softcore_SA_P2_HW.PrjPcb|ReportField=ProjectFullPath~C:\IMR_Projects\IMR\Softcore_SA_P2\Hardware\Softcore_SA_P2_HW\Softcore_SA_P2_HW.PrjPcb|ReportField=Title~BOM_PartType For Project [Softcore_SA_P2_HW.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~190|ReportField=ReportTime~7:34:41 AM|ReportField=ReportDate~5/9/2026|ReportField=ReportDateTime~5/9/2026 7:34:41 AM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProjectDate~05/11/2026|ReportField=ProjectDocumentNumber~IMR-107-SCH|ReportField=ProjectRevision~1|ReportField=ProjectTime~08:00|ReportField=ProjectTitle~SoftCore_SA P2 Adapter|ReportField=Address1~3621 Gin Way|ReportField=Address2~Snellville GA, 30039|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~05/11/2026|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~IMR-107-SCH|ReportField=DrawnBy~|ReportField=Engineer~Hab S Collector|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~SoftCore_SA P2 Adapter|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Softcore_SA_P2_HW.PrjPcb|ReportField=DataSourceFullPath~C:\IMR_Projects\IMR\Softcore_SA_P2\Hardware\Softcore_SA_P2_HW\Softcore_SA_P2_HW.PrjPcb
KGM21NR71H104KT|CAP CER 0.1UF 50V X7R 0805|C1, C5, C6, C8, C9, C15, C17, C18, C19, C20, C21, C24, C27, C28, C34, C35, C37, C44, C45, C46, C47|CAP_SMD_0.1UF_50V_0805|KYOCERA AVX|KGM21NR71H104KT|21|DigiKey|478-KGM21NR71H104KTCT-ND|.1
KGM21NR71H103KT|CAP CER 0.01UF 50V X7R 0805|C2, C3, C23|CAP_SMD_0.01UF_50V_0805|KYOCERA AVX|KGM21NR71H103KT|3|DigiKey|478-KGM21NR71H103KTCT-ND|.1
GRM32ER60J476ME20L|CAP CER 47UF 50V X5R 1210|C4, C7, C26|CAP_SMD_47UF_16V_1210|Murata Electronics|GRM32ER60J476ME20L|3|DigiKey|490-1887-1-ND|.28
C0805C201J5RACAUTO|CAP CER 200PF 50V X7R 0805|C10, C11|CAP_SMD_200PF_50V_0805|KEMET|C0805C201J5RACAUTO|2|DigiKey|399-C0805C201J5RACAUTOCT-ND|.19
C0805C101J5RACAUTO|CAP CER 100PF 50V X7R 0805|C12, C13|CAP_SMD_100PF_50V_0805|KEMET|C0805C101J5RACAUTO|2|DigiKey|399-17614-1-ND|.17
GRM219R61E225KA12J|CAP CER 2.2UF 50V X5R 0805|C14, C16|CAP_SMD_2.2UF_50V_0805|Murata Electronics|GRM219R61E225KA12J|2|DigiKey|490-GRM219R61E225KA12JCT-ND|.38
GRM21BR61H106KE43L|CAP CER 10UF 50V X5R 0805|C22, C29, C32, C42, C43|CAP_SMD_10UF_50V_0805|Murata Electronics|GRM21BR61H106KE43L|5|DigiKey|490-18663-1-ND|.28
08055C105K4T2A|CAP CER 1UF 50V X7R 0805|C25, C33|CAP_SMD_1UF_50V_0805|KYOCERA AVX|08055C105K4T2A|2|DigiKey|478-KAM21KR71H105KUCT-ND|.27
C0805C472K5RACAUTO|CAP CER 4.7NF 50V X7R 0805|C30, C40|CAP_SMD_4.7NF_50V_0805|KEMET|C0805C472K5RACAUTO|2|DigiKey|399-6969-1-ND|.12
EMK325ABJ107MM-P|CAP CER 100UF 16V X7S SMD|C31, C38, C39|CAP_SMD_100UF_16V_SMD|Taiyo Yuden|EMK325ABJ107MM-P|3|DigiKey|587-5426-1-ND|1.92
GRM21BR61H475KE51L|CAP CER 4.7UF 50V X5R 0805|C36|CAP_SMD_4.7UF_50V_0805|Murata Electronics|GRM21BR61H475KE51L|1|DigiKey|490-10751-1-ND|.19
C0805C220K5RACAUTO|CAP CER 22PF 50V X7R 0805|C41|CAP_SMD_22PF_50V_0805|KEMET|C0805C220K5RACAUTO|1|DigiKey|399-17627-1-ND|.24
1N4148W-7-F|RELAY REED SPDT 250MA 5V|D1, D2, D3, D4|DIODE_1N4148W-7-F|Diodes Inc|1N4148W-7-F|4|DigiKey|1N4148W-FDICT-ND|.16
TSW-106-08-T-D-RA|CONN HEADER R/A 12POS 2.54MM|J1, J3, J4, J6|CONN_HEADER_12P_100MIL_RA|Samtec Inc.|TSW-106-08-T-D-RA|4|Digi-Key|SAM1049-06-ND|.93
DM3BT-DSF-PEJS|CONN MICRO SD CARD R/A SMD|J2|CONN_MICRO-SD_DM3BT-DSF-PEJS|Hirose Electric Co Ltd|DM3BT-DSF-PEJS|1|DigiKey|HR1942CT-ND|2.30
PREC003SFAN-RC|CONN HEADER VERT 3POS 2.54MM|J5|CONN_HEADER_3P_100MIL_VERT|Sullins Connector Solutions|PREC003SFAN-RC|1|Digi-Key|S1212EC-03-ND|.07
0731713150|CONN BNC RCPT R/A 50 OHM PCB|J7|CONN_MOLEX_0731713150|Molex|0731713150|1|DigiKey|WM20430-ND|1.40
PREC002SFAN-RC|CONN HEADER VERT 2POS 2.54MM|J8, J10, J11|CONN_HEADER_2P_100MIL_VERT, CONN_JUMPER_2P_100MIL_VERT, CONN_JUMPER_2P_100MIL_VERT|Sullins Connector Solutions|PREC002SFAN-RC|3|Digi-Key|S1212EC-02-ND|.07
54|CONN HEADER VERT 2POS 2.54MM|J9|CONN_BATT_18650|Keystone Electronics|54|1|Digi-Key|36-54-ND|1.10
74439324022|POWER INDUCTOR 4030; 2.2UH; 7.80|L1|INDUCTOR_74439324022|Würth Elektronik|74439324022|1|DigiKey|732-74439324022CT-ND|1.80
LTST-C170GKT|LED GREEN CLEAR SMD|LED1, LED2, LED3, LED7, LED8, LED9, LED10|LED_GREEN_LTST-C170GKT|Lite-On|LTST-C170GKT|7|DigiKey|160-1179-1-ND|.10
LTST-C170YKT|LED YELLOW CLEAR SMD|LED4, LED5|LED_YELLOW_LTST-C170YKT|Lite-On|LTST-C170YKT|2|DigiKey|160-1175-1-ND|.15
LTST-C170EKT|LED RED CLEAR SMD|LED6|LED_RED_LTST-C170EKT|Lite-On|LTST-C170EKT|1|DigiKey|160-1178-1-ND|.18
RM3X6MM 2701|SCREW M3X6 PAN HEAD SS|MECH1, MECH2, MECH3, MECH4|MECHANICAL_SCREW_M3X6_PAN_HEAD|APM Hexseal|RM3X6MM 2701|4|DigiKey|335-1156-ND|.58
24407|HEX STANDOFF M3 BRASS 20MM|MECH5, MECH6, MECH7, MECH8|MECHANICAL_STANDOFF_M3X20|Keystone Electronics|24407|4|DigiKey|36-24407-ND|1.36
312815-3W|SPEAKER PANEL MOUNT|MECH9|MECHANICAL_SPEAKER_MOUNTED|ARDUINO|312815-3W|1|ARDUINO|312815-3W|2.50
410-319-1|DEVELOPMENT BOARD FPGA XILINX A7|MECH10|MODULE_ARTY_A7|Digilent, Inc.|410-319-1|1|DigiKey|1286-1206-ND|299.00
2N7002-7-F|MOSFET N-CH 60V 115MA SOT23-3|Q1|MOSFET_NCH_2N7002-7-F|Diodes Inc|2N7002-7-F|1|DigiKey|2N7002-FDICT-ND|.20
